Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
53,Exit short,2020-01-17 10:30,Long,4009.75,1,20026.25,-24.5,-0.12,2.75,0.01,-23.5,-0.12,149,0.01
53,Entry short,2020-01-17 09:45,Short,4005.25,1,20026.25,-24.5,-0.12,2.75,0.01,-23.5,-0.12,149,0.01
54,Exit long,2020-01-17 11:15,Short,4002.25,1,20048.75,-39.5,-0.20,0,0.00,-38.5,-0.19,109.5,0.01
54,Entry long,2020-01-17 10:30,Long,4009.75,1,20048.75,-39.5,-0.20,0,0.00,-38.5,-0.19,109.5,0.01
55,Exit short,2020-01-17 12:30,Long,4009.75,1,20011.25,-39.5,-0.20,0.25,0.00,-38.5,-0.19,70,0.01
55,Entry short,2020-01-17 11:15,Short,4002.25,1,20011.25,-39.5,-0.20,0.25,0.00,-38.5,-0.19,70,0.01
56,Exit long,2020-01-20 02:15,Short,4007.75,1,20048.75,-12,-0.06,17.75,0.09,-27.25,-0.14,58,0.01
56,Entry long,2020-01-17 12:30,Long,4009.75,1,20048.75,-12,-0.06,17.75,0.09,-27.25,-0.14,58,0.01
57,Exit short,2020-01-20 07:00,Long,4006.5,1,20038.75,4.25,0.02,27.75,0.14,-2.25,-0.01,62.25,0.01
57,Entry short,2020-01-20 02:15,Short,4007.75,1,20038.75,4.25,0.02,27.75,0.14,-2.25,-0.01,62.25,0.01
58,Exit long,2020-01-20 08:45,Short,4004.25,1,20032.5,-13.25,-0.07,0.25,0.00,-12.25,-0.06,49,0.00
58,Entry long,2020-01-20 07:00,Long,4006.5,1,20032.5,-13.25,-0.07,0.25,0.00,-12.25,-0.06,49,0.00
59,Exit short,2020-01-20 10:00,Long,4006.5,1,20021.25,-13.25,-0.07,4,0.02,-12.25,-0.06,35.75,0.00
59,Entry short,2020-01-20 08:45,Short,4004.25,1,20021.25,-13.25,-0.07,4,0.02,-12.25,-0.06,35.75,0.00
60,Exit long,2020-01-20 18:30,Short,4006.5,1,20032.5,-2,-0.01,11.5,0.06,-11,-0.05,33.75,0.00
60,Entry long,2020-01-20 10:00,Long,4006.5,1,20032.5,-2,-0.01,11.5,0.06,-11,-0.05,33.75,0.00
61,Exit short,2020-01-20 20:00,Short Exit,4001.75,1,20032.5,21.75,0.11,22.75,0.11,-6,-0.03,55.5,0.01
61,Entry short,2020-01-20 18:30,Short,4006.5,1,20032.5,21.75,0.11,22.75,0.11,-6,-0.03,55.5,0.01
62,Exit long,2020-01-21 03:15,Short,3993,1,19986.25,-23.25,-0.12,10.25,0.05,-29.75,-0.15,32.25,0.00
62,Entry long,2020-01-21 02:30,Long,3997.25,1,19986.25,-23.25,-0.12,10.25,0.05,-29.75,-0.15,32.25,0.00
63,Exit short,2020-01-21 06:45,Long,3997.75,1,19965,-25.75,-0.13,11.5,0.06,-24.75,-0.12,6.5,0.00
63,Entry short,2020-01-21 03:15,Short,3993,1,19965,-25.75,-0.13,11.5,0.06,-24.75,-0.12,6.5,0.00
64,Exit long,2020-01-21 13:30,Short,4006.5,1,19988.75,41.75,0.21,76.5,0.38,-7.25,-0.04,48.25,0.00
64,Entry long,2020-01-21 06:45,Long,3997.75,1,19988.75,41.75,0.21,76.5,0.38,-7.25,-0.04,48.25,0.00
65,Exit short,2020-01-21 15:15,Long,4008.75,1,20032.5,-13.25,-0.07,34,0.17,-13.5,-0.07,35,0.00
65,Entry short,2020-01-21 13:30,Short,4006.5,1,20032.5,-13.25,-0.07,34,0.17,-13.5,-0.07,35,0.00
66,Exit long,2020-01-22 03:15,Short,4015.75,1,20043.75,33,0.16,54,0.27,-38.5,-0.19,68,0.01
66,Entry long,2020-01-21 15:15,Long,4008.75,1,20043.75,33,0.16,54,0.27,-38.5,-0.19,68,0.01
67,Exit short,2020-01-22 07:15,Long,4017.5,1,20078.75,-10.75,-0.05,12.75,0.06,-13.5,-0.07,57.25,0.01
67,Entry short,2020-01-22 03:15,Short,4015.75,1,20078.75,-10.75,-0.05,12.75,0.06,-13.5,-0.07,57.25,0.01
68,Exit long,2020-01-22 08:45,Short,4014.25,1,20087.5,-18.25,-0.09,4,0.02,-19.75,-0.10,39,0.00
68,Entry long,2020-01-22 07:15,Long,4017.5,1,20087.5,-18.25,-0.09,4,0.02,-19.75,-0.10,39,0.00
69,Exit short,2020-01-22 09:45,Long,4018.25,1,20071.25,-22,-0.11,14,0.07,-21,-0.10,17,0.00
69,Entry short,2020-01-22 08:45,Short,4014.25,1,20071.25,-22,-0.11,14,0.07,-21,-0.10,17,0.00
70,Exit long,2020-01-22 11:00,Short,4014.5,1,20091.25,-20.75,-0.10,11.5,0.06,-23.5,-0.12,-3.75,0.00
70,Entry long,2020-01-22 09:45,Long,4018.25,1,20091.25,-20.75,-0.10,11.5,0.06,-23.5,-0.12,-3.75,0.00
71,Exit short,2020-01-23 02:45,Long,4002.75,1,20072.5,56.75,0.28,95.25,0.47,-4.75,-0.02,53,0.01
71,Entry short,2020-01-22 11:00,Short,4014.5,1,20072.5,56.75,0.28,95.25,0.47,-4.75,-0.02,53,0.01
72,Exit long,2020-01-23 07:45,Short,3998.5,1,20013.75,-23.25,-0.12,7.75,0.04,-26,-0.13,29.75,0.00
72,Entry long,2020-01-23 02:45,Long,4002.75,1,20013.75,-23.25,-0.12,7.75,0.04,-26,-0.13,29.75,0.00
73,Exit short,2020-01-23 10:15,Long,3996.5,1,19992.5,8,0.04,67.75,0.34,-13.5,-0.07,37.75,0.00
73,Entry short,2020-01-23 07:45,Short,3998.5,1,19992.5,8,0.04,67.75,0.34,-13.5,-0.07,37.75,0.00
74,Exit long,2020-01-23 11:00,Long Exit,3990.25,1,19982.5,-33.25,-0.17,10.25,0.05,-32.25,-0.16,4.5,0.00
74,Entry long,2020-01-23 10:15,Long,3996.5,1,19982.5,-33.25,-0.17,10.25,0.05,-32.25,-0.16,4.5,0.00
