Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
148,Exit short,2024-05-17 15:00,Long,5791.5,1,28935,-24.5,-0.08,55.25,0.19,-32.25,-0.11,556.5,0.06
148,Entry short,2024-05-17 11:45,Short,5787,1,28935,-24.5,-0.08,55.25,0.19,-32.25,-0.11,556.5,0.06
149,Exit long,2024-05-20 03:15,Short,5802,1,28957.5,50.5,0.17,75.25,0.26,-13.5,-0.05,607,0.06
149,Entry long,2024-05-17 15:00,Long,5791.5,1,28957.5,50.5,0.17,75.25,0.26,-13.5,-0.05,607,0.06
150,Exit short,2024-05-20 07:30,Long,5806.75,1,29010,-25.75,-0.09,6.5,0.02,-24.75,-0.09,581.25,0.06
150,Entry short,2024-05-20 03:15,Short,5802,1,29010,-25.75,-0.09,6.5,0.02,-24.75,-0.09,581.25,0.06
151,Exit long,2024-05-20 08:30,Long Exit,5799.5,1,29033.75,-38.25,-0.13,2.75,0.01,-37.25,-0.13,543,0.05
151,Entry long,2024-05-20 07:30,Long,5806.75,1,29033.75,-38.25,-0.13,2.75,0.01,-37.25,-0.13,543,0.05
152,Exit short,2024-05-20 09:45,Long,5804.5,1,28998.75,-25.75,-0.09,12.75,0.04,-28.5,-0.10,517.25,0.05
152,Entry short,2024-05-20 08:45,Short,5799.75,1,28998.75,-25.75,-0.09,12.75,0.04,-28.5,-0.10,517.25,0.05
153,Exit long,2024-05-20 13:30,Short,5805.75,1,29022.5,4.25,0.01,69,0.24,-6,-0.02,521.5,0.05
153,Entry long,2024-05-20 09:45,Long,5804.5,1,29022.5,4.25,0.01,69,0.24,-6,-0.02,521.5,0.05
154,Exit short,2024-05-21 06:45,Long,5803.5,1,29028.75,9.25,0.03,57.75,0.20,-12.25,-0.04,530.75,0.05
154,Entry short,2024-05-20 13:30,Short,5805.75,1,29028.75,9.25,0.03,57.75,0.20,-12.25,-0.04,530.75,0.05
155,Exit long,2024-05-21 08:30,Short,5799.75,1,29017.5,-20.75,-0.07,4,0.01,-19.75,-0.07,510,0.05
155,Entry long,2024-05-21 06:45,Long,5803.5,1,29017.5,-20.75,-0.07,4,0.01,-19.75,-0.07,510,0.05
156,Exit short,2024-05-21 10:15,Long,5800.75,1,28998.75,-7,-0.02,34,0.12,-11,-0.04,503,0.05
156,Entry short,2024-05-21 08:30,Short,5799.75,1,28998.75,-7,-0.02,34,0.12,-11,-0.04,503,0.05
157,Exit long,2024-05-21 13:15,Short,5800,1,29003.75,-5.75,-0.02,42.75,0.15,-13.5,-0.05,497.25,0.05
157,Entry long,2024-05-21 10:15,Long,5800.75,1,29003.75,-5.75,-0.02,42.75,0.15,-13.5,-0.05,497.25,0.05
158,Exit short,2024-05-21 14:00,Long,5810,1,29000,-52,-0.18,1.5,0.01,-51,-0.18,445.25,0.04
158,Entry short,2024-05-21 13:15,Short,5800,1,29000,-52,-0.18,1.5,0.01,-51,-0.18,445.25,0.04
159,Exit long,2024-05-22 02:15,Short,5813.75,1,29050,16.75,0.06,47.75,0.16,-33.5,-0.12,462,0.05
159,Entry long,2024-05-21 14:00,Long,5810,1,29050,16.75,0.06,47.75,0.16,-33.5,-0.12,462,0.05
160,Exit short,2024-05-22 09:45,Long,5812.25,1,29068.75,5.5,0.02,46.5,0.16,-7.25,-0.02,467.5,0.05
160,Entry short,2024-05-22 02:15,Short,5813.75,1,29068.75,5.5,0.02,46.5,0.16,-7.25,-0.02,467.5,0.05
161,Exit long,2024-05-22 12:00,Short,5807.75,1,29061.25,-24.5,-0.08,14,0.05,-48.5,-0.17,443,0.04
161,Entry long,2024-05-22 09:45,Long,5812.25,1,29061.25,-24.5,-0.08,14,0.05,-48.5,-0.17,443,0.04
